episode,global_step,episode_reward,moving_avg_reward,episode_worker_reward,episode_requester_reward,hit_rate,loss,epsilon,avg_q_value,buffer_size,eval_hit_at_1,eval_worker_reward,eval_requester_reward,eval_reward,eval_project_coverage
1,1000,301.5000062212348,301.5000062212348,301.5000062212348,281.7620012611151,0.06,0.11597652733325958,0.9683333333333334,-0.0735511013865471,1000,,,,,
2,2000,316.95355927944183,309.2267827503383,316.95355927944183,283.5820005759597,0.07,0.12194300625100732,0.9366666666666666,0.6031298163863047,2000,,,,,
3,3000,318.500005826354,312.3178571090102,318.500005826354,297.36400113254786,0.071,0.20237547881156207,0.905,2.3962740366046456,3000,,,,,
4,4000,328.00000607967377,316.2383943516761,328.00000607967377,286.86600121855736,0.074,0.18475744087994098,0.8733333333333333,4.091241648907635,4000,,,,,
5,5000,402.35996048152447,333.4627075776458,402.35996048152447,344.6080012321472,0.111,0.20204745474457741,0.8416666666666667,5.8486049442054115,5000,0.3055,0.8451830148696899,0.8635758757591248,0.8451830148696899,0.9871794871794872
6,6000,383.5822887122631,341.815971100082,383.5822887122631,317.3999999091029,0.101,0.19229491593688727,0.81,7.458856348250364,6000,,,,,
7,7000,396.000006146729,349.5565475353173,396.000006146729,331.6240015104413,0.11,0.18784800546616315,0.7783333333333333,8.718969414581606,7000,,,,,
8,8000,431.3969841450453,359.7866021115333,431.3969841450453,355.48700032383204,0.128,0.2556351725757122,0.7466666666666667,10.34401611169687,8000,,,,,
9,9000,468.5546178072691,371.87193718883725,468.5546178072691,385.6940008401871,0.144,0.2296595989614725,0.7150000000000001,11.699515093031456,9000,,,,,
10,10000,489.0518947094679,383.5899329409003,489.0518947094679,419.47900062054396,0.156,0.19736127560585737,0.6833333333333333,12.685993647630271,10000,0.25245,0.7381306886672974,0.7480805516242981,0.7381306886672974,0.9711538461538461
11,11000,554.9618615731597,399.16919918019664,554.9618615731597,467.47000083327293,0.18,0.21475818583369255,0.6516666666666667,13.265122988957353,11000,,,,,
12,12000,580.2360403463244,414.2581026107073,580.2360403463244,446.19299971312284,0.197,0.22741535410284996,0.62,14.341599696260404,12000,,,,,
13,13000,623.8516557514668,430.38068362153496,623.8516557514668,492.24600046128035,0.221,0.23933363588154316,0.5883333333333334,14.976367291092277,13000,,,,,
14,14000,646.4189232587814,445.8119864527668,646.4189232587814,517.3209995850921,0.224,0.23367411310970784,0.5566666666666666,15.65249653682061,14000,,,,,
15,15000,669.9336998462677,460.75343401233357,669.9336998462677,524.531000316143,0.241,0.2528628565967083,0.525,16.431849635521196,15000,0.3453,0.925301194190979,0.9327852725982666,0.925301194190979,0.9711538461538461
16,16000,712.494813285768,476.4872702169232,712.494813285768,579.5340000092983,0.26,0.2795792500823736,0.4933333333333334,17.172654600257417,16000,,,,,
17,17000,756.7640426754951,492.9741391850745,756.7640426754951,599.0680024847388,0.274,0.2613122865110636,0.46166666666666667,17.863367462411,17000,,,,,
18,18000,707.7627285197377,504.9068385925558,707.7627285197377,548.9730000942945,0.268,0.24811799617111682,0.43000000000000005,17.96608373686032,18000,,,,,
19,19000,767.4143821969628,518.7230250980509,767.4143821969628,606.4129994139075,0.289,0.26109019412100315,0.39833333333333343,18.279683252954303,19000,,,,,
20,20000,778.0679367929697,531.6902706827968,778.0679367929697,609.0940012857318,0.295,0.2718039367198944,0.3666666666666667,18.66992430908392,20000,0.36545,0.9649885892868042,0.9747239947319031,0.9649885892868042,0.9807692307692307
21,21000,898.7589624077082,561.5532184921205,898.7589624077082,680.9090014025569,0.351,0.2671105168759823,0.3350000000000001,19.185666273208973,21000,,,,,
22,22000,916.5303091183305,591.532055984065,916.5303091183305,703.666998706758,0.354,0.27144445849955084,0.30333333333333345,19.62013540659399,22000,,,,,
23,23000,912.4939602613449,621.2317537058145,912.4939602613449,697.7629997059703,0.366,0.2696692773550749,0.2716666666666666,20.131318191652593,23000,,,,,
24,24000,961.5055682584643,652.907031814754,961.5055682584643,739.8159981667995,0.381,0.279352689281106,0.24,20.356455205919534,24000,,,,,
25,25000,991.7209869995713,682.3750831406563,991.7209869995713,768.2009994611144,0.395,0.29328078162670135,0.20833333333333337,20.672189692995246,25000,0.4132,1.0582761764526367,1.0618425607681274,1.0582761764526367,0.9807692307692307
26,26000,1112.8872499838471,718.8403312042356,1112.8872499838471,867.2360019311309,0.467,0.27988561491668223,0.17666666666666664,21.068137482189048,26000,,,,,
27,27000,1009.7447687387466,749.5275693338365,1009.7447687387466,753.7009992077947,0.416,0.2928118914067745,0.14500000000000002,21.577582875253345,27000,,,,,
28,28000,1088.3568585217,782.3755630526691,1088.3568585217,814.755000140518,0.455,0.2831453054845333,0.1133333333333334,21.450156407742888,28000,,,,,
29,29000,1173.8962247520685,817.6426433999092,1173.8962247520685,880.3919993042946,0.487,0.27948711800575254,0.08166666666666667,21.612932750156947,29000,,,,,
30,30000,1175.3085089847445,851.955474113673,1175.3085089847445,899.3160003125668,0.499,0.2966118394434452,0.050000000000000044,22.088270089742192,30000,0.4423,1.1095422506332397,1.113563895225525,1.1095422506332397,0.9871794871794872
31,31000,1144.1109093949199,881.412926504761,1144.1109093949199,866.2459999918938,0.488,0.30476098582148553,0.050000000000000044,22.374676651942394,31000,,,,,
32,32000,1213.3797055259347,913.0701097637415,1213.3797055259347,919.3529988974333,0.513,0.29803782467544077,0.050000000000000044,22.59400091181006,32000,,,,,
33,33000,1224.3005068302155,943.092552317679,1224.3005068302155,917.081997141242,0.509,0.29587221653759477,0.050000000000000044,22.659715489619593,33000,,,,,
34,34000,1179.2374988272786,969.7334810961038,1179.2374988272786,874.7619995176792,0.5,0.3024503998011351,0.050000000000000044,22.793359747648484,34000,,,,,
35,35000,1189.2494288161397,995.6992675445974,1189.2494288161397,911.0609987676144,0.506,0.3070533184707165,0.050000000000000044,23.11081160559057,35000,0.4575,1.140366554260254,1.142703890800476,1.140366554260254,0.9839743589743589
36,36000,1180.11178380996,1019.080116070807,1180.11178380996,896.5579992309213,0.493,0.3077852656245232,0.050000000000000044,23.435973785767978,36000,,,,,
37,37000,1273.4515585675836,1044.9144918654115,1273.4515585675836,963.4389999657869,0.539,0.3091723966747522,0.050000000000000044,23.523153689239905,37000,,,,,
38,38000,1200.6480907201767,1069.5587599754333,1200.6480907201767,917.0290024131536,0.51,0.32434197376668455,0.050000000000000044,23.768896055245875,38000,,,,,
39,39000,1256.9627569764853,1094.0361787144095,1256.9627569764853,966.4559994786978,0.53,0.32814628042280675,0.050000000000000044,24.110093521839175,39000,,,,,
40,40000,1257.9279313534498,1118.0291784424335,1257.9279313534498,947.2920005880296,0.535,0.32318294037878514,0.050000000000000044,24.243498157066885,40000,0.4757,1.1739588975906372,1.180911660194397,1.1739588975906372,0.9903846153846154
