episode,global_step,episode_reward,moving_avg_reward,episode_worker_reward,episode_requester_reward,hit_rate,loss,epsilon,avg_q_value,buffer_size,eval_hit_at_1,eval_worker_reward,eval_requester_reward,eval_reward,eval_project_coverage
1,1000,281.7620012611151,281.7620012611151,301.5000062212348,281.7620012611151,0.06,0.1139407753944397,0.9683333333333334,-0.0735511013865471,1000,,,,,
2,2000,277.3470006659627,279.5545009635389,308.30000442266464,277.3470006659627,0.069,0.0714326051613316,0.9366666666666666,0.5260319248787585,2000,,,,,
3,3000,302.4400009289384,287.1830009520054,324.6000059247017,302.4400009289384,0.075,0.13822055445984005,0.905,2.038664043501061,3000,,,,,
4,4000,279.023001126945,285.1430009957403,311.3000060170889,279.023001126945,0.066,0.13512215685099363,0.8733333333333333,3.5494203151253068,4000,,,,,
5,5000,338.3800009638071,295.79040098935366,393.75996062904596,338.3800009638071,0.108,0.10771498632058502,0.8416666666666667,4.921432345840901,5000,0.2784,0.774018406867981,0.8054991960525513,0.8054991960525513,0.9743589743589743
6,6000,331.9720004722476,301.82066756983596,392.6518958285451,331.9720004722476,0.11,0.13575230492651463,0.81,6.157707474521689,6000,,,,,
7,7000,328.417001709342,305.6201438754797,377.7000058144331,328.417001709342,0.102,0.14962730396538973,0.7783333333333333,7.343408850169861,7000,,,,,
8,8000,365.6660004854202,313.12587595172226,431.59698455035686,365.6660004854202,0.129,0.17008153253048658,0.7466666666666667,8.712173037254772,8000,,,,,
9,9000,341.62000097334385,316.29188984301356,406.4010631516576,341.62000097334385,0.115,0.14215822511166334,0.7150000000000001,9.736195046582921,9000,,,,,
10,10000,384.2480009868741,323.0875009573996,441.0518956631422,384.2480009868741,0.132,0.1666733356937766,0.6833333333333333,10.52515322377109,10000,0.29265,0.8161031007766724,0.8329476714134216,0.8329476714134216,0.9903846153846154
11,11000,471.73000061511993,336.6004554717378,539.3535592705011,471.73000061511993,0.177,0.15497305013239385,0.6516666666666667,11.149148117025753,11000,,,,,
12,12000,448.6549994572997,345.9383341372013,562.3969832062721,448.6549994572997,0.192,0.16880759090185166,0.62,11.939363977213556,12000,,,,,
13,13000,502.84900014847517,358.00838536883776,604.9000043720007,502.84900014847517,0.214,0.20062777185440064,0.5883333333333334,12.783392325011816,13000,,,,,
14,14000,527.133999735117,370.08878639500057,628.4763214960694,527.133999735117,0.214,0.19305604317784308,0.5566666666666666,13.46778549424328,14000,,,,,
