episode,global_step,episode_reward,moving_avg_reward,episode_worker_reward,episode_requester_reward,hit_rate,loss,epsilon,avg_q_value,buffer_size,eval_hit_at_1,eval_worker_reward,eval_requester_reward,eval_reward,eval_project_coverage
1,1000,301.5000062212348,301.5000062212348,301.5000062212348,281.7620012611151,0.06,0.11597652733325958,0.9683333333333334,-0.0735511013865471,1000,,,,,
2,2000,315.3535593152046,308.4267827682197,315.3535593152046,282.9220005646348,0.069,0.11927709332108498,0.9366666666666666,0.614611452694449,2000,,,,,
3,3000,319.2000059708953,312.01785716911155,319.2000059708953,295.23500126600266,0.071,0.1733990081101656,0.905,2.4257151367595964,3000,,,,,
4,4000,318.0000056549907,313.51339429058135,318.0000056549907,275.9510013759136,0.069,0.1882253416031599,0.8733333333333333,4.307181557745994,4000,,,,,
5,5000,397.25996021181345,330.2627074748278,397.25996021181345,338.6570012271404,0.109,0.16620979537069797,0.8416666666666667,6.043662626832247,5000,0.2661,0.7411926984786987,0.7738767862319946,0.7411926984786987,0.9807692307692307
6,6000,407.2822890430689,343.099304402868,407.2822890430689,341.49600015580654,0.113,0.16593993610143662,0.81,7.558084420658447,6000,,,,,
7,7000,391.30000565201044,349.9851188670312,391.30000565201044,330.18700186163187,0.108,0.18135069893300534,0.7783333333333333,8.945500507626301,7000,,,,,
8,8000,454.4045445099473,363.0375470723957,454.4045445099473,378.55500023067,0.138,0.2276451073586941,0.7466666666666667,10.67700707798187,8000,,,,,
9,9000,466.95461739599705,374.5838882194625,466.95461739599705,388.62100064754486,0.141,0.18024885157495737,0.7150000000000001,11.924217053085828,9000,,,,,
10,10000,495.60544945299625,386.6860443428159,495.60544945299625,415.87700094282627,0.155,0.21161215077340603,0.6833333333333333,13.249943750049184,10000,0.33035,0.8945500254631042,0.9150077104568481,0.8945500254631042,0.9775641025641025
11,11000,568.9083059057593,403.25170448490167,568.9083059057593,477.34600100666285,0.191,0.20364996537566185,0.6516666666666667,14.01398149960817,11000,,,,,
12,12000,606.4969826638699,420.18881099981564,606.4969826638699,471.93300008773804,0.215,0.21009367533028125,0.62,15.03676518162034,12000,,,,,
13,13000,617.9000031352043,435.3973642409994,617.9000031352043,493.3130004554987,0.22,0.25361334036290645,0.5883333333333334,16.117902968495724,13000,,,,,
14,14000,660.2733013927937,451.45993118041326,660.2733013927937,536.0069999843836,0.228,0.20604612980037929,0.5566666666666666,16.94054494396482,14000,,,,,
15,15000,722.0336987227201,469.4981823499004,722.0336987227201,572.3870000094175,0.272,0.22786725428700447,0.525,17.57638569814532,15000,0.3661,0.9606122970581055,0.9701859354972839,0.9606122970581055,0.9935897435897436
16,16000,727.1516741290689,485.60152558609843,727.1516741290689,586.8589998409152,0.255,0.24296212020516395,0.4933333333333334,18.46193567025234,16000,,,,,
17,17000,767.0123904645443,502.15510587306585,767.0123904645443,612.3650019615889,0.284,0.25116267749667165,0.46166666666666667,19.10728033683883,17000,,,,,
18,18000,705.8627284169197,513.4721960143911,705.8627284169197,553.2930005043745,0.266,0.22972263482958077,0.43000000000000005,19.224092522548762,18000,,,,,
19,19000,793.6143818125129,528.2165215827132,793.6143818125129,626.1719995215535,0.304,0.23352647668123244,0.39833333333333343,19.54576297837172,19000,,,,,
20,20000,842.7710513994098,543.9442480735481,842.7710513994098,646.2960003316402,0.317,0.25661206138134,0.3666666666666667,19.926832722288907,20000,0.4104,1.0580711364746094,1.068477988243103,1.0580711364746094,0.9839743589743589
21,21000,920.4249933511019,574.8904974300415,920.4249933511019,703.8340011313558,0.354,0.2784817576855421,0.3350000000000001,20.624096735966198,21000,,,,,
22,22000,913.5786564126611,604.8017522849143,913.5786564126611,703.0049982964993,0.356,0.26951035368442533,0.30333333333333345,21.081030954001278,22000,,,,,
23,23000,910.6939609646797,634.3764500346035,910.6939609646797,695.8029997050762,0.363,0.2661955309212208,0.2716666666666666,21.43252951825615,23000,,,,,
24,24000,986.9055671989918,667.8217281118035,986.9055671989918,761.0319985672832,0.396,0.2578442124426365,0.24,21.433427428981734,24000,,,,,
25,25000,973.9693344309926,696.6571968227624,973.9693344309926,757.8010000735521,0.39,0.2803843367993832,0.20833333333333337,21.97191724679576,25000,0.43335,1.0978660583496094,1.105407476425171,1.0978660583496094,0.9775641025641025
26,26000,1108.6348954811692,731.7248271446675,1108.6348954811692,864.1770012676716,0.464,0.2639223199635744,0.17666666666666664,22.16760208815766,26000,,,,,
27,27000,1038.8447683230042,764.1020652782172,1038.8447683230042,776.0639995262027,0.431,0.2896053587794304,0.14500000000000002,22.52540379588789,27000,,,,,
28,28000,1101.005491219461,796.4321126136929,1101.005491219461,826.8240003548563,0.456,0.29390884764492514,0.1133333333333334,22.904836202054412,28000,,,,,
29,29000,1140.4009485766292,830.1044291727245,1140.4009485766292,865.1979990527034,0.48,0.2817295771688223,0.08166666666666667,23.238333595681613,29000,,,,,
30,30000,1160.1642433032393,863.3323688652366,1160.1642433032393,892.3339998945594,0.485,0.28657255771756174,0.050000000000000044,23.508296427090634,30000,0.45055,1.1330101490020752,1.1343073844909668,1.1330101490020752,0.9871794871794872
31,31000,1209.1109082177281,895.3424989808351,1209.1109082177281,913.7660000547767,0.523,0.28887096397578715,0.050000000000000044,23.69478000356483,31000,,,,,
32,32000,1245.2849130257964,927.2818954989314,1245.2849130257964,935.7599993348122,0.522,0.29598495830595495,0.050000000000000044,23.76482558128661,32000,,,,,
33,33000,1231.148854650557,957.9443380746991,1231.148854650557,927.3499967008829,0.515,0.3036289221346378,0.050000000000000044,23.823036778923925,33000,,,,,
34,34000,1165.4375002533197,983.2025480177253,1165.4375002533197,875.4989995881915,0.49,0.30823419998586177,0.050000000000000044,23.887111238438447,34000,,,,,
35,35000,1229.7494283020496,1008.5883344966918,1229.7494283020496,939.2109987139702,0.526,0.31608498410880564,0.050000000000000044,24.09837561221583,35000,0.4749,1.1774243116378784,1.1832596063613892,1.1774243116378784,0.9839743589743589
36,36000,1209.8587593510747,1032.7236887577922,1209.8587593510747,932.039000146091,0.517,0.2972401003688574,0.050000000000000044,24.328208851973134,36000,,,,,
37,37000,1299.1076777279377,1059.3284531209617,1299.1076777279377,996.6359999775887,0.553,0.3108538784086704,0.050000000000000044,24.434123244921043,37000,,,,,
38,38000,1200.438794463873,1084.0572564233094,1200.438794463873,920.1780017763376,0.512,0.32626875998079774,0.050000000000000044,24.60789063923946,38000,,,,,
39,39000,1268.6111033707857,1107.807092501223,1268.6111033707857,977.3830000981688,0.54,0.3080483787357807,0.050000000000000044,24.497594624711848,39000,,,,,
40,40000,1255.327930405736,1128.4349364515394,1255.327930405736,945.1980017311871,0.533,0.3093160986453295,0.050000000000000044,24.520032060201608,40000,0.50725,1.2391754388809204,1.2420403957366943,1.2391754388809204,0.9935897435897436
41,41000,1270.3616172894835,1145.9317676484584,1270.3616172894835,947.0430006086826,0.516,0.322446417465806,0.050000000000000044,24.756375250076342,41000,,,,,
42,42000,1228.612052448094,1161.68343745023,1228.612052448094,947.5449977740645,0.517,0.31684567435085775,0.050000000000000044,24.938449407210115,42000,,,,,
43,43000,1220.8121794983745,1177.189348376915,1220.8121794983745,937.0140000060201,0.528,0.32843122667074204,0.050000000000000044,25.17136207384941,43000,,,,,
44,44000,1210.87819480896,1188.3879797574132,1210.87819480896,936.4619990065694,0.521,0.3238863947540522,0.050000000000000044,25.152898713328955,44000,,,,,
45,45000,1216.4369991719723,1200.5113629944622,1216.4369991719723,917.5710005834699,0.512,0.3379119427651167,0.050000000000000044,25.048783707104143,45000,0.4735,1.1710596084594727,1.1780182123184204,1.1710596084594727,0.9807692307692307
46,46000,1259.8383637294173,1208.0715364068747,1259.8383637294173,973.2750002518296,0.529,0.3163049657046795,0.050000000000000044,24.998873378231316,46000,,,,,
47,47000,1318.441498413682,1222.0513729114086,1318.441498413682,986.2839997783303,0.57,0.3325716436654329,0.050000000000000044,25.300226929734965,47000,,,,,
48,48000,1213.152920089662,1227.6587443549186,1213.152920089662,935.7880021482706,0.515,0.332024628713727,0.050000000000000044,25.29297473133531,48000,,,,,
