episode,global_step,episode_reward,moving_avg_reward,episode_worker_reward,episode_requester_reward,hit_rate,loss,epsilon,avg_q_value,buffer_size,eval_hit_at_1,eval_worker_reward,eval_requester_reward,eval_reward,eval_project_coverage
1,1000,281.7620012611151,281.7620012611151,301.5000062212348,281.7620012611151,0.06,0.1144091933965683,0.9683333333333334,-0.10243800222873688,1000,,,,,
2,2000,281.25200057029724,281.50700091570616,314.15355940908194,281.25200057029724,0.068,0.07751725485897623,0.9366666666666666,0.6306783300644679,2000,,,,,
3,3000,291.18000120669603,284.73133434603614,309.8000065162778,291.18000120669603,0.066,0.11180642541870475,0.905,2.503203736974838,3000,,,,,
4,4000,269.54400140047073,280.93450110964477,296.90000626444817,269.54400140047073,0.059,0.11711882636323571,0.8733333333333333,4.287802063568854,4000,,,,,
5,5000,326.7750012949109,290.102601146698,370.75996090471745,326.7750012949109,0.095,0.09872674901410937,0.8416666666666667,5.897567925614108,5000,0.2811,0.7817050814628601,0.8095806837081909,0.8095806837081909,0.9743589743589743
6,6000,314.8109998703003,294.2206676006317,359.2518962472677,314.8109998703003,0.093,0.10466566988825798,0.81,7.2068179366556375,6000,,,,,
7,7000,310.40600154548883,296.53285816418276,364.2000064328313,310.40600154548883,0.093,0.12198750896751881,0.7783333333333333,8.417876465636082,7000,,,,,
8,8000,351.95299972593784,303.4603758594021,414.4075645133853,351.95299972593784,0.121,0.12121885985136033,0.7466666666666667,9.608989753662208,8000,,,,,
9,9000,328.9090008661151,306.28800086014803,388.00000444054604,328.9090008661151,0.108,0.12140471710264683,0.7150000000000001,10.680570904782908,9000,,,,,
10,10000,381.9860005900264,313.85780083313585,433.4054508879781,381.9860005900264,0.121,0.14270806185901164,0.6833333333333333,11.537098935084076,10000,0.29015,0.8170158863067627,0.8411682844161987,0.8411682844161987,0.9615384615384616
11,11000,430.20700143277645,324.43500088764864,488.2535600736737,430.20700143277645,0.151,0.16110147934406996,0.6516666666666667,12.307085436839406,11000,,,,,
12,12000,423.11799993366003,332.6585841414829,520.2360404655337,423.11799993366003,0.168,0.15423981630802155,0.62,13.159863667148983,12000,,,,,
13,13000,456.99199997633696,342.2226930518563,546.600004337728,456.99199997633696,0.185,0.18668026930093765,0.5883333333333334,13.770755451063726,13000,,,,,
14,14000,498.33200016617775,353.3733578457364,595.9687604308128,498.33200016617775,0.201,0.16429923859238624,0.5566666666666666,14.51194804687923,14000,,,,,
15,15000,482.48200016468763,361.9806006669998,583.0337010249496,482.48200016468763,0.2,0.18816468267887831,0.525,15.038413589082474,15000,0.32325,0.8818789124488831,0.9053023457527161,0.9053023457527161,0.9807692307692307
16,16000,528.0010002553463,372.3568756412715,629.3431622907519,528.0010002553463,0.22,0.1851814831867814,0.4933333333333334,15.646540763368645,16000,,,,,
17,17000,565.3300012201071,383.70823596943825,688.1054957583547,565.3300012201071,0.242,0.18757822759449483,0.46166666666666667,16.20427103150041,17000,,,,,
18,18000,484.1950007379055,389.2908340121309,595.9627300202847,484.1950007379055,0.209,0.19777226707339288,0.43000000000000005,16.494048751226746,18000,,,,,
19,19000,544.9459998905659,397.48321116362746,680.8143829554319,544.9459998905659,0.245,0.1835825934559107,0.39833333333333343,16.574630573335398,19000,,,,,
20,20000,585.95700083673,406.9069006472826,725.7122896760702,585.95700083673,0.264,0.18071045085787774,0.3666666666666667,16.773603512554345,20000,0.3727,0.9827744364738464,1.0040242671966553,1.0040242671966553,0.9775641025641025
21,21000,604.2240009307861,423.03000063076615,748.0002128854394,604.2240009307861,0.276,0.19841054122149945,0.3350000000000001,17.234582611664926,21000,,,,,
22,22000,626.2089982777834,440.27785051614046,773.0753539204597,626.2089982777834,0.287,0.18780123800039292,0.30333333333333345,17.28323316715928,22000,,,,,
23,23000,644.5019999444485,457.9439504530281,807.9939616918564,644.5019999444485,0.315,0.18890391168743373,0.2716666666666666,17.475758292357405,23000,,,,,
24,24000,683.4029992222786,478.6369003441185,858.9550334587693,683.4029992222786,0.335,0.19950749193876982,0.24,17.65524975984371,24000,,,,,
25,25000,693.1549999862909,496.95590027868747,868.6693357676268,693.1549999862909,0.338,0.20013641077280045,0.20833333333333337,17.905370936865694,25000,0.3665,0.9553536176681519,0.9779461026191711,0.9779461026191711,0.9903846153846154
26,26000,754.8640021458268,518.9585503924638,953.0865493789315,754.8640021458268,0.382,0.19594083171337842,0.17666666666666664,17.929640136998184,26000,,,,,
27,27000,728.2929990962148,539.8529002700001,929.3143781423569,728.2929990962148,0.376,0.22115854236483573,0.14500000000000002,18.335517261864133,27000,,,,,
28,28000,748.218999709934,559.6662002691999,967.9508209750056,748.218999709934,0.385,0.20556230610609055,0.1133333333333334,18.487011446566196,28000,,,,,
29,29000,791.1549992859364,582.7785001901909,1017.1526031270623,791.1549992859364,0.41,0.2075460428595543,0.08166666666666667,18.355780477195637,29000,,,,,
30,30000,814.3790000528097,604.3981501633301,1039.0609401091933,814.3790000528097,0.427,0.22244773446768523,0.050000000000000044,18.27267137703013,30000,0.40365,1.023786187171936,1.0419870615005493,1.0419870615005493,0.9935897435897436
31,31000,832.3310006335378,624.5043501233682,1073.462801322341,832.3310006335378,0.449,0.22015868616849185,0.050000000000000044,18.32575530221346,31000,,,,,
32,32000,820.3789989948273,644.3674000764265,1069.3705347627401,820.3789989948273,0.436,0.21670659771561623,0.050000000000000044,18.23889848282437,32000,,,,,
33,33000,861.8749974146485,664.6115499483421,1138.8521606624126,861.8749974146485,0.463,0.23032111900299787,0.050000000000000044,18.225590144198364,33000,,,,,
34,34000,835.183000318706,681.4540999559686,1084.3375021517277,835.183000318706,0.448,0.22064879348874092,0.050000000000000044,18.259371974117833,34000,,,,,
35,35000,873.3989987745881,700.9999498864636,1098.4494298994541,873.3989987745881,0.457,0.23609298381209373,0.050000000000000044,18.297008741562863,35000,0.41055,1.0410704612731934,1.0530683994293213,1.0530683994293213,0.9775641025641025
36,36000,867.4199994131923,717.9708998443559,1113.8104131743312,867.4199994131923,0.467,0.23336976078152658,0.050000000000000044,18.2759181686941,36000,,,,,
37,37000,901.5799995213747,734.7833997594192,1159.2046602517366,901.5799995213747,0.478,0.23867210048437118,0.050000000000000044,18.278082120940013,37000,,,,,
38,38000,845.5430020391941,752.8507998244837,1084.848091892898,845.5430020391941,0.45,0.25775553460419176,0.050000000000000044,18.35397716932671,38000,,,,,
39,39000,918.1939995139837,771.5131998056546,1159.2163129672408,918.1939995139837,0.477,0.26304401642084124,0.050000000000000044,18.65356549741552,39000,,,,,
40,40000,900.7230000682175,787.251499767229,1175.5279312804341,900.7230000682175,0.493,0.23140035244822502,0.050000000000000044,18.411964729973363,40000,0.43295,1.0922719240188599,1.1065365076065063,1.1065365076065063,0.9839743589743589
41,41000,887.6490017175674,801.422749806568,1177.9053697735071,887.6490017175674,0.471,0.2470059952735901,0.050000000000000044,18.420770716691678,41000,,,,,
42,42000,896.0519984513521,814.9148998152465,1147.3090342730284,896.0519984513521,0.47,0.24286137150228024,0.050000000000000044,18.516348984397826,42000,,,,,
