episode,global_step,episode_reward,moving_avg_reward,episode_worker_reward,episode_requester_reward,hit_rate,loss,epsilon,avg_q_value,buffer_size,eval_hit_at_1,eval_worker_reward,eval_requester_reward,eval_reward,eval_project_coverage
1,1000,301.5000062212348,301.5000062212348,301.5000062212348,281.7620012611151,0.06,0.11645819246768951,0.9683333333333334,-0.10243800222873688,1000,,,,,
2,2000,311.500004388392,306.5000053048134,311.500004388392,280.80800058692694,0.071,0.09633264506328851,0.9366666666666666,0.61738350378701,2000,,,,,
3,3000,311.8000060841441,308.26667223125696,311.8000060841441,292.6600011661649,0.068,0.1440730501562357,0.905,2.7686387844156273,3000,,,,,
4,4000,301.6000060290098,306.6000056806952,301.6000060290098,264.5350012779236,0.061,0.15019376288354397,0.8733333333333333,4.962082370107745,4000,,,,,
5,5000,377.65996065735817,320.8119966760278,377.65996065735817,326.22500126063824,0.1,0.1636932957470417,0.8416666666666667,7.062285080684438,5000,0.22665,0.6812597513198853,0.7046995162963867,0.6812597513198853,0.9711538461538461
6,6000,392.9303974509239,332.83173013851047,392.9303974509239,334.6480002850294,0.11,0.14404158513620496,0.81,8.790844686530733,6000,,,,,
7,7000,392.9000061824918,341.4129124305078,392.9000061824918,327.5180014297366,0.108,0.158589565590024,0.7783333333333333,10.436273378343438,7000,,,,,
8,8000,430.30756410211325,352.5247438894585,430.30756410211325,356.54500023275614,0.129,0.18322031854838133,0.7466666666666667,12.007492798205002,8000,,,,,
9,9000,451.0957353338599,363.47707627216977,451.0957353338599,369.65700064599514,0.139,0.16588001673668623,0.7150000000000001,13.237873088845832,9000,,,,,
10,10000,500.0054492726922,377.129913572222,500.0054492726922,428.54600067436695,0.158,0.17141522972285747,0.6833333333333333,14.339861667805787,10000,0.32095,0.8811541199684143,0.8888494372367859,0.8811541199684143,0.9839743589743589
11,11000,540.2083059027791,391.955221965909,540.2083059027791,455.80600026994944,0.179,0.18638962507992982,0.6516666666666667,15.267081451274311,11000,,,,,
12,12000,604.9969822987914,409.7087019936492,604.9969822987914,469.6419997662306,0.215,0.19915297454595565,0.62,16.175640990668352,12000,,,,,
13,13000,649.1000031083822,428.1234174640133,649.1000031083822,516.1230002641678,0.238,0.20693163033574818,0.5883333333333334,16.975423474356013,13000,,,,,
14,14000,669.9733009934425,445.3984091446868,669.9733009934425,532.2159997671843,0.233,0.18057728338986634,0.5566666666666666,17.630914674892413,14000,,,,,
15,15000,703.6336991861463,462.61409514745077,703.6336991861463,544.5210005044937,0.26,0.21211585468798877,0.525,18.245400639773216,15000,0.41055,1.0465031862258911,1.054608941078186,1.0465031862258911,0.9839743589743589
16,16000,707.1948140412569,477.90039007831365,707.1948140412569,571.5669996142387,0.255,0.24201775996387004,0.4933333333333334,19.18526787523571,16000,,,,,
17,17000,774.458835080266,495.3450044901932,774.458835080266,617.1770015656948,0.292,0.2152799367904663,0.46166666666666667,19.908796199194402,17000,,,,,
18,18000,721.7000011429191,507.9202820820113,721.7000011429191,565.3690000325441,0.278,0.2132520388364792,0.43000000000000005,20.142995970319994,18000,,,,,
19,19000,793.4143821075559,522.9462873465136,793.4143821075559,621.2519993335009,0.304,0.21256025682389737,0.39833333333333343,20.70531946367922,19000,,,,,
20,20000,824.565843641758,538.0272651612759,824.565843641758,633.6590007543564,0.313,0.22659514616429804,0.3666666666666667,21.23406135629943,20000,0.40555,1.0429210662841797,1.051217794418335,1.0429210662841797,0.9903846153846154
21,21000,861.559881515801,566.0302589260042,861.559881515801,673.5550015792251,0.335,0.2530576607063413,0.3350000000000001,21.817365875561844,21000,,,,,
22,22000,911.4786566123366,596.0291915372014,911.4786566123366,704.6049986109138,0.355,0.22496323572844268,0.30333333333333345,22.259447389383674,22000,,,,,
23,23000,923.3939601257443,626.6088892392814,923.3939601257443,714.5909999832511,0.371,0.23252179762721062,0.2716666666666666,22.70467386584146,23000,,,,,
24,24000,994.1055673286319,661.2341673042625,994.1055673286319,761.9649989679456,0.402,0.23393459531664848,0.24,22.866932759127295,24000,,,,,
25,25000,991.2209861055017,691.9122185766697,991.2209861055017,766.0139996930957,0.398,0.2609036797583103,0.20833333333333337,23.03736324657488,25000,0.42275,1.0758529901504517,1.078733205795288,1.0758529901504517,0.9903846153846154
26,26000,1089.186549000442,726.7250261541456,1089.186549000442,847.5590016245842,0.45,0.24308174495399,0.17666666666666664,23.33077803832974,26000,,,,,
27,27000,1049.14476878196,759.537264284119,1049.14476878196,787.6349992230535,0.437,0.26485537108778956,0.14500000000000002,23.80836885081718,27000,,,,,
28,28000,1059.5568583756685,790.9997289977968,1059.5568583756685,804.500999648124,0.439,0.25744187124073503,0.1133333333333334,23.962420739869813,28000,,,,,
29,29000,1136.0042549744248,825.245154979825,1136.0042549744248,873.8059993386269,0.468,0.2588316199928522,0.08166666666666667,24.08963763204183,29000,,,,,
30,30000,1180.9125900790095,859.2905120201409,1180.9125900790095,901.944000467658,0.501,0.26259544512629507,0.050000000000000044,24.62014537661374,30000,0.4482,1.125535488128662,1.131445288658142,1.125535488128662,0.9871794871794872
31,31000,1200.3109087720513,892.2956421636045,1200.3109087720513,904.0440008863807,0.522,0.2693023761510849,0.050000000000000044,24.66125044442694,31000,,,,,
32,32000,1192.6686328798532,921.6792246926576,1192.6686328798532,911.3679993450642,0.499,0.25345402778685094,0.050000000000000044,24.8558605270074,32000,,,,,
33,33000,1272.3521585389972,952.8418324641883,1272.3521585389972,946.2159969061613,0.536,0.2797992846518755,0.050000000000000044,25.06575298309326,33000,,,,,
34,34000,1177.2374990731478,978.2050423681736,1177.2374990731478,875.969999268651,0.503,0.28311466427147386,0.050000000000000044,25.226782867376752,34000,,,,,
35,35000,1200.3494285717607,1003.0408288374543,1200.3494285717607,919.3989988490939,0.512,0.277370514318347,0.050000000000000044,25.208533375170198,35000,0.44815,1.1220171451568604,1.134812831878662,1.1220171451568604,0.9871794871794872
36,36000,1218.2123146951199,1028.5917038701475,1218.2123146951199,938.7419995740056,0.517,0.27678096255660056,0.050000000000000044,25.052837310235724,36000,,,,,
37,37000,1280.2057752013206,1053.8790508762002,1280.2057752013206,984.8710000738502,0.543,0.2738371048122644,0.050000000000000044,25.116524747768956,37000,,,,,
38,38000,1236.6480894088745,1079.626455289498,1236.6480894088745,949.9360020309687,0.532,0.27951353892683983,0.050000000000000044,25.163993565055073,38000,,,,,
39,39000,1247.0111044943333,1102.3062914088368,1247.0111044943333,953.8779994472861,0.529,0.2839813561886549,0.050000000000000044,24.91856773486184,39000,,,,,
40,40000,1249.8279308974743,1123.5693957716226,1249.8279308974743,956.390000667423,0.53,0.2810450901389122,0.050000000000000044,24.864666827249504,40000,0.4877,1.201801061630249,1.2076125144958496,1.201801061630249,0.9903846153846154
41,41000,1289.3904472887516,1144.9609240602701,1289.3904472887516,958.0360011085868,0.527,0.28103076754510403,0.050000000000000044,24.921483786721147,41000,,,,,
42,42000,1263.3637045696378,1162.5551764581353,1263.3637045696378,970.2839985489845,0.536,0.2788511701375246,0.050000000000000044,24.735767602920532,42000,,,,,
43,43000,1216.86052723974,1177.2285048138351,1216.86052723974,929.1889993846416,0.531,0.29641697897017,0.050000000000000044,24.83719409942627,43000,,,,,
44,44000,1180.478196747601,1186.5471362847834,1180.478196747601,921.875999301672,0.502,0.29176168666779995,0.050000000000000044,25.021513308161666,44000,,,,,
45,45000,1217.9369989931583,1197.8829369291664,1217.9369989931583,911.5740007832646,0.516,0.2991569654047489,0.050000000000000044,25.034851775997588,45000,0.47315,1.1682463884353638,1.1719633340835571,1.1682463884353638,0.9871794871794872
46,46000,1243.2808438912034,1205.5876516737044,1243.2808438912034,961.3310006186366,0.525,0.2962874853312969,0.050000000000000044,24.814581395184845,46000,,,,,
47,47000,1324.156054995954,1219.338215984404,1324.156054995954,1001.9369995370507,0.576,0.29314445143938067,0.050000000000000044,24.80915639048717,47000,,,,,
48,48000,1207.6108615621924,1226.7409161437304,1207.6108615621924,935.2490009814501,0.517,0.29594600762426854,0.050000000000000044,24.712852459366363,48000,,,,,
49,49000,1253.9926818981767,1232.6403374899178,1253.9926818981767,962.2990008145571,0.528,0.30174152840673923,0.050000000000000044,24.9604333789532,49000,,,,,
50,50000,1250.816277422011,1236.135521857068,1250.816277422011,965.9950008094311,0.545,0.2996128309220076,0.050000000000000044,25.085222650039846,50000,0.49265,1.2109941244125366,1.2118619680404663,1.2109941244125366,0.9871794871794872
